Category: All categories

Country,Bitcoin: (2020)
Nigeria,100
Namibia,66
Benin,61
Liechtenstein,55
Caribbean Netherlands,53
St. Kitts & Nevis,52
Cuba,51
South Africa,46
Curaçao,44
Togo,43
Switzerland,43
Cayman Islands,41
Austria,40
Cameroon,40
Eswatini,40
Gibraltar,38
Ghana,37
Botswana,37
Bermuda,36
Lesotho,35
Slovenia,35
St. Helena,34
Faroe Islands,34
Germany,33
Cyprus,33
Zimbabwe,32
Netherlands,32
Svalbard & Jan Mayen,31
Malta,31
Sint Maarten,31
Andorra,31
Antigua & Barbuda,30
Papua New Guinea,29
Madagascar,28
Solomon Islands,27
Kenya,27
Isle of Man,27
Luxembourg,27
Ireland,26
Türkiye,26
Burkina Faso,26
Canada,25
Aruba,25
Singapore,25
Australia,24
Venezuela,24
Kosovo,23
Côte d’Ivoire,23
Jersey,23
St. Martin,23
Maldives,23
Guam,22
Spain,22
Belgium,21
United Arab Emirates,21
Turks & Caicos Islands,21
United Kingdom,21
Estonia,20
Burundi,20
Czechia,20
New Zealand,19
United States,19
New Caledonia,18
Philippines,18
San Marino,18
Iceland,18
Ethiopia,18
Seychelles,18
Slovakia,17
Grenada,17
British Virgin Islands,17
Albania,17
Bahamas,17
Croatia,16
Zambia,16
Pakistan,16
Vanuatu,16
Brazil,16
Trinidad & Tobago,16
U.S. Virgin Islands,16
North Macedonia,16
Panama,15
Congo - Brazzaville,15
Colombia,15
Finland,15
Gambia,15
Bhutan,15
Portugal,15
Sweden,15
Brunei,15
Argentina,15
Malawi,15
French Polynesia,15
Barbados,15
Uruguay,15
Mongolia,15
Guernsey,15
China,15
Malaysia,14
Suriname,14
Congo - Kinshasa,14
Palau,14
Norway,14
Hong Kong,14
Åland Islands,14
French Guiana,14
Romania,14
St. Lucia,14
Northern Mariana Islands,14
Bahrain,13
Laos,13
Italy,13
Nepal,13
Afghanistan,13
Tonga,13
Jamaica,13
Dominica,13
Lithuania,13
Costa Rica,13
Djibouti,12
Lebanon,12
Somalia,12
Denmark,12
Uganda,12
Guadeloupe,12
Rwanda,12
France,12
Réunion,12
Qatar,12
Poland,12
Guyana,11
Bulgaria,11
Martinique,11
Mauritius,11
St. Vincent & Grenadines,11
Georgia,11
Sri Lanka,11
Greenland,11
St. Barthélemy,11
El Salvador,11
Vietnam,11
Latvia,10
Niger,10
Senegal,10
Gabon,10
Equatorial Guinea,10
Western Sahara,10
Haiti,10
Sierra Leone,10
Greece,10
Dominican Republic,10
Peru,10
Serbia,10
Israel,9
Angola,9
São Tomé & Príncipe,9
Hungary,9
Mayotte,9
Fiji,9
Liberia,9
Armenia,9
India,9
Mozambique,9
Tanzania,9
Bangladesh,9
Guatemala,9
Morocco,8
Ecuador,8
Cambodia,8
Kuwait,8
Tunisia,8
Mexico,8
Central African Republic,8
Comoros,8
Belize,8
Cape Verde,8
South Sudan,7
Chile,7
Bosnia & Herzegovina,7
Mali,7
Moldova,7
Montenegro,7
Myanmar (Burma),7
Guinea-Bissau,7
Paraguay,7
Indonesia,7
Oman,6
Macao,6
Azerbaijan,6
Turkmenistan,6
Bolivia,6
Thailand,6
Mauritania,6
Puerto Rico,6
Guinea,6
Nicaragua,6
Honduras,6
Iran,5
Egypt,5
Chad,5
Jordan,5
Uzbekistan,5
Samoa,5
Saudi Arabia,5
Algeria,5
South Korea,4
Palestine,4
Libya,3
Syria,3
Iraq,3
Ukraine,3
Sudan,3
Timor-Leste,3
Tajikistan,3
Russia,2
Taiwan,2
Yemen,2
Kyrgyzstan,2
Belarus,2
Kazakhstan,2
Japan,1
Pitcairn Islands,
Cocos (Keeling) Islands,
Micronesia,
Norfolk Island,
Cook Islands,
Montserrat,
Tuvalu,
Tokelau,
Marshall Islands,
Monaco,
Niue,
U.S. Outlying Islands,
Heard & McDonald Islands,
St. Pierre & Miquelon,
Falkland Islands (Islas Malvinas),
Vatican City,
Kiribati,
French Southern Territories,
Antarctica,
American Samoa,
Bouvet Island,
British Indian Ocean Territory,
Wallis & Futuna,
Christmas Island,
Anguilla,
Eritrea,
North Korea,
South Georgia & South Sandwich Islands,
Nauru,
